====================================================================================
                             RAISED FLOOR LAYOUT REPORT                             
====================================================================================
Generated on: 2025-11-17 18:50:17


------------------------------------------------------------------------------------
                                     TILES LIST                                     
------------------------------------------------------------------------------------
ID    | Center X (mm)     | Center Y (mm)     | Width (mm)     | Length (mm)    | Is Cut  
191   | 6200.00           | 9188.46           | 600.00         | 576.91         | Yes     
192   | 6800.00           | 9064.13           | 600.00         | 328.26         | Yes     
193   | 7196.06           | 8939.81           | 192.11         | 79.61          | Yes     
194   | 4572.77           | 9552.73           | 254.46         | 105.45         | Yes     
195   | 5000.00           | 9644.92           | 600.00         | 289.83         | Yes     
196   | 5572.14           | 9612.78           | 544.29         | 225.56         | Yes     



------------------------------------------------------------------------------------
                             SUPPORTS (PEDESTALS) LIST                              
------------------------------------------------------------------------------------
ID    | Position X (mm)   | Position Y (mm)   | Base Z (mm)     | Height (mm) 
------------------------------------------------------------------------------
1     | 5119.40           | 565.18            | 57.96           | 285.73      
2     | 5274.69           | 588.44            | 61.64           | 282.05      
3     | 4675.43           | 709.31            | 50.84           | 292.85      
4     | 5865.87           | 820.68            | 76.13           | 267.57      
5     | 4070.36           | 1020.98           | 42.17           | 301.53      
6     | 6465.77           | 1073.71           | 90.81           | 252.89      
7     | 5274.38           | 1076.16           | 67.00           | 276.69      
8     | 5870.55           | 1081.09           | 79.00           | 264.69      
9     | 4669.99           | 1081.98           | 55.00           | 288.69      
10    | 3731.36           | 1092.90           | 34.94           | 308.75      
11    | 6609.43           | 1130.76           | 92.85           | 250.84      
12    | 3477.29           | 1208.31           | 31.82           | 311.88      
13    | 7067.53           | 1323.27           | 105.10          | 238.59      
14    | 2873.15           | 1452.77           | 22.30           | 321.39      
15    | 7666.31           | 1622.72           | 120.29          | 223.40      
16    | 5275.25           | 1675.25           | 73.00           | 270.69      
17    | 6475.25           | 1675.25           | 97.00           | 246.69      
18    | 4675.25           | 1675.25           | 61.00           | 282.69      
19    | 5875.25           | 1675.25           | 85.00           | 258.69      
20    | 4075.21           | 1675.29           | 49.00           | 294.69      
21    | 7072.74           | 1678.04           | 109.00          | 234.69      
22    | 3472.11           | 1678.85           | 37.00           | 306.69      
23    | 2867.75           | 1686.41           | 25.00           | 318.69      
24    | 8006.29           | 1692.90           | 127.81          | 215.88      
25    | 2268.16           | 1718.75           | 12.64           | 331.05      
26    | 8270.76           | 1826.76           | 134.08          | 209.62      
27    | 1885.68           | 1885.68           | 5.83            | 337.87      
28    | 8426.69           | 1895.86           | 137.19          | 206.51      
29    | 8586.19           | 2275.17           | 145.22          | 198.48      
30    | 2875.25           | 2275.25           | 31.00           | 312.69      
31    | 4075.25           | 2275.25           | 55.00           | 288.69      
32    | 2275.25           | 2275.25           | 19.00           | 324.69      
33    | 3475.25           | 2275.25           | 43.00           | 300.69      
34    | 4675.25           | 2275.25           | 67.00           | 276.69      
35    | 6475.25           | 2275.25           | 103.00          | 240.69      
36    | 7075.25           | 2275.25           | 115.00          | 228.69      
37    | 5875.25           | 2275.25           | 91.00           | 252.69      
38    | 7675.25           | 2275.25           | 127.00          | 216.69      
39    | 5275.25           | 2275.25           | 79.00           | 264.69      
40    | 8274.47           | 2276.06           | 139.00          | 204.69      
41    | 1706.42           | 2283.12           | 6.64            | 337.05      
42    | 1686.41           | 2867.75           | 13.00           | 330.69      
43    | 1452.77           | 2873.15           | 7.61            | 336.09      
44    | 4675.25           | 2875.25           | 73.00           | 270.69      
45    | 2275.25           | 2875.25           | 25.00           | 318.69      
46    | 4075.25           | 2875.25           | 61.00           | 282.69      
47    | 5275.25           | 2875.25           | 85.00           | 258.69      
48    | 6475.25           | 2875.25           | 109.00          | 234.69      
49    | 8275.25           | 2875.25           | 145.00          | 198.69      
50    | 7675.25           | 2875.25           | 133.00          | 210.69      
51    | 3475.25           | 2875.25           | 49.00           | 294.69      
52    | 2875.25           | 2875.25           | 37.00           | 306.69      
53    | 5875.25           | 2875.25           | 97.00           | 246.69      
54    | 7075.25           | 2875.25           | 121.00          | 222.69      
55    | 8851.64           | 2947.66           | 157.08          | 186.61      
56    | 1678.85           | 3472.11           | 19.00           | 324.69      
57    | 9085.82           | 3473.05           | 167.16          | 176.53      
58    | 7675.25           | 3475.25           | 139.00          | 204.69      
59    | 2275.25           | 3475.25           | 31.00           | 312.69      
60    | 4675.25           | 3475.25           | 79.00           | 264.69      
61    | 5875.25           | 3475.25           | 103.00          | 240.69      
62    | 3475.25           | 3475.25           | 55.00           | 288.69      
63    | 4075.25           | 3475.25           | 67.00           | 276.69      
64    | 6475.25           | 3475.25           | 115.00          | 228.69      
65    | 7075.25           | 3475.25           | 127.00          | 216.69      
66    | 2875.25           | 3475.25           | 43.00           | 300.69      
67    | 8275.25           | 3475.25           | 151.00          | 192.69      
68    | 5275.25           | 3475.25           | 91.00           | 252.69      
69    | 8875.13           | 3475.38           | 163.00          | 180.69      
70    | 1208.31           | 3477.29           | 8.63            | 335.06      
71    | 1092.90           | 3731.36           | 8.97            | 334.72      
72    | 1020.98           | 4070.36           | 11.33           | 332.36      
73    | 1675.29           | 4075.21           | 25.00           | 318.69      
74    | 8875.25           | 4075.25           | 169.00          | 174.69      
75    | 7075.25           | 4075.25           | 133.00          | 210.69      
76    | 7675.25           | 4075.25           | 145.00          | 198.69      
77    | 3475.25           | 4075.25           | 61.00           | 282.69      
78    | 4675.25           | 4075.25           | 85.00           | 258.69      
79    | 5275.25           | 4075.25           | 97.00           | 246.69      
80    | 5875.25           | 4075.25           | 109.00          | 234.69      
81    | 2275.25           | 4075.25           | 37.00           | 306.69      
82    | 2875.25           | 4075.25           | 49.00           | 294.69      
83    | 4075.25           | 4075.25           | 73.00           | 270.69      
84    | 6475.25           | 4075.25           | 121.00          | 222.69      
85    | 8275.25           | 4075.25           | 157.00          | 186.69      
86    | 9331.15           | 4076.18           | 178.14          | 165.56      
87    | 9465.17           | 4442.06           | 184.46          | 159.24      
88    | 1081.98           | 4669.99           | 19.00           | 324.69      
89    | 9528.54           | 4674.83           | 188.05          | 155.64      
90    | 7075.25           | 4675.25           | 139.00          | 204.69      
91    | 3475.25           | 4675.25           | 67.00           | 276.69      
92    | 4675.25           | 4675.25           | 91.00           | 252.69      
93    | 5875.25           | 4675.25           | 115.00          | 228.69      
94    | 6475.25           | 4675.25           | 127.00          | 216.69      
95    | 1675.25           | 4675.25           | 31.00           | 312.69      
96    | 2275.25           | 4675.25           | 43.00           | 300.69      
97    | 2875.25           | 4675.25           | 55.00           | 288.69      
98    | 5275.25           | 4675.25           | 103.00          | 240.69      
99    | 7675.25           | 4675.25           | 151.00          | 192.69      
100   | 8275.25           | 4675.25           | 163.00          | 180.69      
101   | 8875.25           | 4675.25           | 175.00          | 168.69      
102   | 4075.25           | 4675.25           | 79.00           | 264.69      
103   | 709.31            | 4675.43           | 10.69           | 333.01      
104   | 9730.89           | 5107.27           | 196.47          | 147.22      
105   | 565.18            | 5119.40           | 11.97           | 331.73      
106   | 9711.74           | 5267.85           | 197.51          | 146.18      
107   | 1076.16           | 5274.38           | 25.00           | 318.69      
108   | 588.44            | 5274.69           | 14.29           | 329.41      
109   | 5875.25           | 5275.25           | 121.00          | 222.69      
110   | 4075.25           | 5275.25           | 85.00           | 258.69      
111   | 1675.25           | 5275.25           | 37.00           | 306.69      
112   | 2875.25           | 5275.25           | 61.00           | 282.69      
113   | 2275.25           | 5275.25           | 49.00           | 294.69      
114   | 3475.25           | 5275.25           | 73.00           | 270.69      
115   | 7675.25           | 5275.25           | 157.00          | 186.69      
116   | 8275.25           | 5275.25           | 169.00          | 174.69      
117   | 4675.25           | 5275.25           | 97.00           | 246.69      
118   | 5275.25           | 5275.25           | 109.00          | 234.69      
119   | 6475.25           | 5275.25           | 133.00          | 210.69      
120   | 8875.25           | 5275.25           | 181.00          | 162.69      
121   | 9475.25           | 5275.25           | 193.00          | 150.69      
122   | 7075.25           | 5275.25           | 145.00          | 198.69      
123   | 9463.02           | 5848.23           | 198.49          | 145.20      
124   | 820.68            | 5865.87           | 25.26           | 318.44      
125   | 1081.09           | 5870.55           | 31.00           | 312.69      
126   | 4075.25           | 5875.25           | 91.00           | 252.69      
127   | 1675.25           | 5875.25           | 43.00           | 300.69      
128   | 3475.25           | 5875.25           | 79.00           | 264.69      
129   | 2275.25           | 5875.25           | 55.00           | 288.69      
130   | 2875.25           | 5875.25           | 67.00           | 276.69      
131   | 7675.25           | 5875.25           | 163.00          | 180.69      
132   | 4675.25           | 5875.25           | 103.00          | 240.69      
133   | 7075.25           | 5875.25           | 151.00          | 192.69      
134   | 5275.25           | 5875.25           | 115.00          | 228.69      
135   | 5875.25           | 5875.25           | 127.00          | 216.69      
136   | 6475.25           | 5875.25           | 139.00          | 204.69      
137   | 8275.25           | 5875.25           | 175.00          | 168.69      
138   | 8875.25           | 5875.25           | 187.00          | 156.69      
139   | 1073.71           | 6465.77           | 36.62           | 307.08      
140   | 9218.39           | 6466.42           | 199.57          | 144.13      
141   | 6475.25           | 6475.25           | 145.00          | 198.69      
142   | 4675.25           | 6475.25           | 109.00          | 234.69      
143   | 3475.25           | 6475.25           | 85.00           | 258.69      
144   | 1675.25           | 6475.25           | 49.00           | 294.69      
145   | 2275.25           | 6475.25           | 61.00           | 282.69      
146   | 2875.25           | 6475.25           | 73.00           | 270.69      
147   | 7675.25           | 6475.25           | 169.00          | 174.69      
148   | 8875.25           | 6475.25           | 193.00          | 150.69      
149   | 4075.25           | 6475.25           | 97.00           | 246.69      
150   | 5275.25           | 6475.25           | 121.00          | 222.69      
151   | 5875.25           | 6475.25           | 133.00          | 210.69      
152   | 7075.25           | 6475.25           | 157.00          | 186.69      
153   | 8275.25           | 6475.25           | 181.00          | 162.69      
154   | 1130.76           | 6609.43           | 37.93           | 305.77      
155   | 1323.27           | 7067.53           | 47.20           | 296.49      
156   | 8929.12           | 7070.21           | 199.80          | 143.90      
157   | 1678.04           | 7072.74           | 55.00           | 288.69      
158   | 3475.25           | 7075.25           | 91.00           | 252.69      
159   | 4675.25           | 7075.25           | 115.00          | 228.69      
160   | 7675.25           | 7075.25           | 175.00          | 168.69      
161   | 2275.25           | 7075.25           | 67.00           | 276.69      
162   | 4075.25           | 7075.25           | 103.00          | 240.69      
163   | 5275.25           | 7075.25           | 127.00          | 216.69      
164   | 5875.25           | 7075.25           | 139.00          | 204.69      
165   | 8275.25           | 7075.25           | 187.00          | 156.69      
166   | 2875.25           | 7075.25           | 79.00           | 264.69      
167   | 6475.25           | 7075.25           | 151.00          | 192.69      
168   | 7075.25           | 7075.25           | 163.00          | 180.69      
169   | 8866.28           | 7301.48           | 200.92          | 142.77      
170   | 1622.72           | 7666.31           | 59.59           | 284.11      
171   | 8715.46           | 7668.62           | 201.62          | 142.08      
172   | 8275.25           | 7675.25           | 193.00          | 150.69      
173   | 3475.25           | 7675.25           | 97.00           | 246.69      
174   | 2875.25           | 7675.25           | 85.00           | 258.69      
175   | 7075.25           | 7675.25           | 169.00          | 174.69      
176   | 7675.25           | 7675.25           | 181.00          | 162.69      
177   | 2275.25           | 7675.25           | 73.00           | 270.69      
178   | 4075.25           | 7675.25           | 109.00          | 234.69      
179   | 6475.25           | 7675.25           | 157.00          | 186.69      
180   | 4675.25           | 7675.25           | 121.00          | 222.69      
181   | 5275.25           | 7675.25           | 133.00          | 210.69      
182   | 5875.25           | 7675.25           | 145.00          | 198.69      
183   | 1692.90           | 8006.29           | 64.41           | 279.29      
184   | 8480.20           | 8265.06           | 202.65          | 141.05      
185   | 1826.76           | 8270.76           | 69.15           | 274.54      
186   | 2276.06           | 8274.47           | 79.00           | 264.69      
187   | 7675.25           | 8275.25           | 187.00          | 156.69      
188   | 2875.25           | 8275.25           | 91.00           | 252.69      
189   | 3475.25           | 8275.25           | 103.00          | 240.69      
190   | 4675.25           | 8275.25           | 127.00          | 216.69      
191   | 5275.25           | 8275.25           | 139.00          | 204.69      
192   | 5875.25           | 8275.25           | 151.00          | 192.69      
193   | 6475.25           | 8275.25           | 163.00          | 180.69      
194   | 7075.25           | 8275.25           | 175.00          | 168.69      
195   | 4075.25           | 8275.25           | 115.00          | 228.69      
196   | 8275.25           | 8275.25           | 199.00          | 144.69      
197   | 8404.15           | 8404.15           | 202.87          | 140.83      
198   | 1895.86           | 8426.69           | 71.51           | 272.19      
199   | 8265.06           | 8480.20           | 200.82          | 142.87      
200   | 2275.17           | 8586.19           | 82.11           | 261.59      
201   | 7668.62           | 8715.46           | 191.31          | 152.39      
202   | 2947.66           | 8851.64           | 97.77           | 245.92      
203   | 7301.48           | 8866.28           | 184.84          | 158.85      
204   | 3475.38           | 8875.13           | 109.00          | 234.69      
205   | 4075.25           | 8875.25           | 121.00          | 222.69      
206   | 5275.25           | 8875.25           | 145.00          | 198.69      
207   | 5875.25           | 8875.25           | 157.00          | 186.69      
208   | 6475.25           | 8875.25           | 169.00          | 174.69      
209   | 4675.25           | 8875.25           | 133.00          | 210.69      
210   | 7070.21           | 8929.12           | 181.40          | 162.30      
211   | 3473.05           | 9085.82           | 111.08          | 232.61      
212   | 6466.42           | 9218.39           | 172.28          | 171.41      
213   | 4076.18           | 9331.15           | 125.57          | 218.13      
214   | 5848.23           | 9463.02           | 162.33          | 181.37      
215   | 4442.06           | 9465.17           | 133.91          | 209.78      
216   | 5275.25           | 9475.25           | 151.00          | 192.69      
217   | 4674.83           | 9528.54           | 139.53          | 204.17      
218   | 5267.85           | 9711.74           | 153.26          | 190.44      
219   | 5107.27           | 9730.89           | 150.11          | 193.59      



============================ END OF REPORT =============================
